NSDL Scheme Code,Scheme Name,Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),TER Date (Change),TER Reduction (%)
360O/O/E/FOC/14/08/0003,360 ONE Focused Fund,0.66,0.65,2026-02-01,0.01
ABKS/O/E/FCF/25/11/0002,Abakkus Flexi Cap Fund,0.34,0.32,2026-02-01,0.02
ABSL/O/D/LOW/98/07/0007,Aditya Birla Sun Life Low Duration Fund,0.37,0.36,2026-02-01,0.01
ABSL/O/D/MDF/09/02/0038,Aditya Birla Sun Life Medium Term Plan,0.7,0.69,2026-02-01,0.01
ABSL/O/D/SDF/02/04/0016,Aditya Birla Sun Life Short Term Fund,0.32,0.31,2026-02-01,0.01
ABSL/O/E/DYF/03/01/0020,Aditya Birla Sun Life Dividend Yield Fund,1.11,1.1,2026-02-01,0.01
ABSL/O/E/ELS/96/01/0004,Aditya Birla Sun Life ELSS Tax Saver Fund,0.83,0.82,2026-02-01,0.01
ABSL/O/E/FCF/98/08/0008,Aditya Birla Sun Life Flexi Cap Fund,0.69,0.68,2026-02-01,0.01
ABSL/O/E/FOC/05/05/0025,Aditya Birla Sun Life Focused Fund,0.71,0.7,2026-02-01,0.01
ABSL/O/E/LMF/95/02/0002,Aditya Birla Sun Life Large & Mid Cap Fund,0.89,0.88,2026-02-01,0.01
ABSL/O/E/MCF/21/03/0093,Aditya Birla Sun Life Multi-Cap Fund,0.61,0.6,2026-02-01,0.01
ABSL/O/E/MIF/02/09/0017,Aditya Birla Sun Life MIDCAP Fund,0.82,0.83,2026-02-01,-0.01
ABSL/O/E/SCF/06/02/0028,Aditya Birla Sun Life Small Cap Fund,0.74,0.73,2026-02-01,0.01
ABSL/O/E/SEC/05/05/0026,Aditya Birla Sun Life Consumption Fund,0.63,0.62,2026-02-01,0.01
ABSL/O/E/SEC/06/01/0027,Aditya Birla Sun Life Infrastructure Fund,1.18,1.16,2026-02-01,0.02
ABSL/O/E/SEC/13/11/0046,Aditya Birla Sun Life Banking and Financial Services Fund,0.81,0.8,2026-02-01,0.01
ABSL/O/E/SEC/19/06/0086,Aditya Birla Sun Life PSU Equity Fund,0.47,0.46,2026-02-01,0.01
ABSL/O/E/SEC/20/03/0088,Aditya Birla Sun Life ESG Integration Strategy Fund,1.15,1.14,2026-02-01,0.01
ABSL/O/E/SEC/20/07/0092,Aditya Birla Sun Life Special Opportunities Fund,1.05,1.03,2026-02-01,0.02
ABSL/O/E/SEC/21/08/0101,Aditya Birla Sun Life Business Cycle Fund,0.95,0.94,2026-02-01,0.01
ABSL/O/E/SEC/98/11/0009,Aditya Birla Sun Life MNC Fund,1.08,1.07,2026-02-01,0.01
ABSL/O/E/THE/23/07/0149,Aditya Birla Sun Life Transportation and Logistics Fund,0.64,0.63,2026-02-01,0.01
ABSL/O/E/THE/24/01/0158,Aditya Birla Sun Life Quant Fund,0.52,0.53,2026-02-01,-0.01
ABSL/O/E/THE/24/10/0166,Aditya Birla Sun Life Conglomerate Fund,0.55,0.56,2026-02-01,-0.01
ABSL/O/E/VAF/07/07/0031,Aditya Birla Sun Life Value Fund,0.83,0.82,2026-02-01,0.01
ABSL/O/H/BHF/95/01/0001,Aditya Birla Sun Life Equity Hybrid '95 Fund,0.89,0.88,2026-02-01,0.01
ABSL/O/H/DAA/00/03/0014,Aditya Birla Sun Life Balanced Advantage Fund,0.53,0.52,2026-02-01,0.01
ABSL/O/H/ESF/14/10/0047,Aditya Birla Sun Life Equity Savings Fund,0.42,0.41,2026-02-01,0.01
ABSL/O/H/MAA/22/08/0132,Aditya Birla Sun Life Multi Asset Allocation Fund,0.45,0.44,2026-02-01,0.01
ABSL/O/O/FOD/06/05/0029,Aditya Birla Sun Life Multi Asset Omni FoF,0.14,0.11,2026-02-01,0.03
ABSL/O/O/FOD/10/10/0040,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF,0.26,0.23,2026-02-01,0.03
ABSL/O/O/FOD/10/10/0041,Aditya Birla Sun Life Conservative Hybrid Active FOF,0.39,0.37,2026-02-01,0.02
ABSL/O/O/FOO/22/07/0122,Aditya Birla Sun Life Multi-Asset Passive FOF,0.26,0.24,2026-02-01,0.02
ABSL/O/S/CHI/18/10/0073,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA,0.92,0.91,2026-02-01,0.01
AXIS/O/D/MDF/11/09/0012,Axis Strategic Bond Fund,0.61,0.62,2026-02-01,-0.01
AXIS/O/E/ELS/09/11/0005,Axis ELSS Tax Saver Fund,0.71,0.7,2026-02-01,0.01
AXIS/O/E/FCF/17/05/0025,Axis Flexi Cap Fund,0.58,0.57,2026-02-01,0.01
AXIS/O/E/FOC/12/02/0014,Axis Focused Fund,0.67,0.68,2026-02-01,-0.01
AXIS/O/E/LCF/09/10/0003,Axis Large Cap Fund,0.58,0.57,2026-02-01,0.01
AXIS/O/E/LMF/18/05/0028,Axis Large & Mid Cap Fund,0.46,0.45,2026-02-01,0.01
AXIS/O/E/MCF/21/09/0058,Axis Multicap Fund,0.57,0.56,2026-02-01,0.01
AXIS/O/E/MIF/10/12/0009,Axis Midcap Fund,0.44,0.43,2026-02-01,0.01
AXIS/O/E/SCF/13/09/0016,Axis Small Cap Fund,0.46,0.45,2026-02-01,0.01
